id,status,priority,title,labels,category,directory,has_acceptance,has_evidence
I-20260513-BQTVQV,open,P2,Runtime: WeakRef and FinalizationRegistry,type:feature area:runtime,implementation,issues,True,True
I-20260513-DCRMZJ,open,P2,Runtime: full Unicode String.prototype.normalize,type:feature area:runtime feature:string-unicode,implementation,issues,False,True
I-20260513-HDW7PQ,open,P2,Phase 4 (PR 4): Enable real test262 harness loading,type:feature area:ir area:compiler area:tooling,implementation,issues,True,True
I-20260513-Q7B4E8,open,P2,"Runtime: RegExp advanced features (named groups, lookahead, lookbehind, Unicode, s/dotAll, u/unicode, y/sticky, flags)",type:feature area:runtime,implementation,issues,True,True
I-20260513-WBEJBE,open,P2,Runtime: first-class Function object model,type:feature area:runtime area:ir,implementation,issues,True,True
I-20260513-WHBN24,open,P2,Coverage: Add differential test infrastructure for Node.js oracle comparison on new features,type:tooling area:coverage,tooling,issues,True,True
I-20260514-28R5VE,open,P2,Runtime: Function.prototype.toString source representation,type:feature area:runtime area:ir,implementation,issues,False,True
I-20260514-9P5WP5,open,P2,Runtime: console API semantic parity,type:feature area:runtime,implementation,issues,False,True
I-20260514-E2TCH8,open,P2,Runtime: full Intl.NumberFormat locale data and dynamic formatting parity,type:feature area:runtime feature:intl,implementation,issues,False,True
I-20260514-SB757Q,open,P2,Runtime: full Intl.DateTimeFormat locale data and dynamic formatting parity,type:feature area:runtime feature:intl,implementation,issues,False,True
I-20260515-7VB44K,open,P2,Explicit target CLI and future-target rejection,area:cli area:diagnostic type:feat,other,issues,True,True
I-20260515-CWN7F3,open,P2,Architecture wave: runtime-subset unsupported diagnostics,type:architecture area:runtime area:coverage,architecture,issues,True,True
I-20260515-FQT8DP,open,P0,Runtime ABI and Target Metadata in Artifacts,abi manifest backend,implementation,issues,True,True
I-20260515-PMTJTQ,open,P1,Frontend gap: parse comma expression statement in Object.entries shard,area:frontend feature:test262 feature:object-literal,implementation,issues,False,True
I-20260515-WPZXJA,open,P2,Runtime Object/GC Triage Labels and Trap Classes,runtime coverage,implementation,issues,True,True
I-20260511-8MCC5W,done,P2,Add semantic coverage dashboard fields and current-state summary,docs coverage P11-semantic-coverage-unblock,docs,issues/done,True,True
I-20260511-DP4579,done,P2,Add semantic coverage dashboard fields and current-state summary,docs coverage P11-semantic-coverage-unblock,docs,issues/done,True,True
I-20260511-NY9MWE,done,P1,Implement assert.sameValue MVP and produce first positive test262 differential pass,feature coverage P11-semantic-coverage-unblock,implementation,issues/done,True,True
I-20260511-P254BF,done,P1,Add final architecture completion gate,tooling cross P13-final-gate,tooling,issues/done,True,True
I-20260511-XAJG2Y,done,P3,Reduce oversized functions to below 10 violations,refactor cross P11-llm-friendly-sizing,refactor,issues/done,True,True
I-20260512-4HPWW7,done,P1,"Extract runtime-abi crate for RawValue tags, layout constants, and logical ABI definitions",refactor runtime P14-runtime-catalog-hardening,refactor,issues/done,True,True
I-20260512-57AC7F,done,P3,Create differential fuzzing harness MVP,tooling cross P16-semantic-correctness,tooling,issues/done,True,True
I-20260512-76JXWE,done,P2,Add host-import deny matrix and policy checker,tooling cross P15-test-hardening,tooling,issues/done,True,True
I-20260512-779V5B,done,P2,Add runtime builtin semantic contracts,test runtime P16-semantic-correctness,test,issues/done,True,True
